mp-ids;Icohp_mean_avg;Icohp_mean_max;Icohp_mean_min;Icohp_mean_std;Icohp_sum_avg;Icohp_sum_max;Icohp_sum_min;Icohp_sum_std;bonding_perc_avg;bonding_perc_max;bonding_perc_min;bonding_perc_std;antibonding_perc_avg;antibonding_perc_min;antibonding_perc_max;antibonding_perc_std;Made_Loe;Made_Mull
mp-1253;-0.373333333;-0.18;-0.47;0.136707311;-2.603333333;-2.19;-2.81;0.292270803;0.77438;0.78571;0.75172;0.01602304;0.22562;0.21429;0.24828;0.01602304;-16.92;-17.75
mp-1008556;-4.975;-4.96;-4.99;0.015;-14.93;-9.92;-19.97;4.980225898;0.999495;1;0.99899;0.000505;0.000505;0;0.00101;0.000505;-18.93;-28.8
mp-3395;-7.46;-7.37;-7.55;0.09;-14.83;-7.55;-22.11;7.28;0.91665;0.92027;0.91303;0.00362;0.08335;0.07973;0.08697;0.00362;-86.74;-95.02
mp-753747;-4.115;-3.01;-5.85;1.191417223;-12.07;-3.01;-27.55;9.466432802;0.9331225;0.99747;0.87255;0.060631288;0.0668775;0.00253;0.12745;0.060631288;-83.95;-115.94
mp-15724;-0.286666667;-0.21;-0.42;0.094633797;-1.72;-0.92;-3.36;0.792548632;0.957776667;1;0.90265;0.039330774;0.042223333;0;0.09735;0.039330774;-11.62;-13.35
mp-753287;-0.576;-0.23;-0.71;0.177268158;-2.558;-0.91;-4.21;1.284280343;0.775586;0.83836;0.71359;0.051313707;0.224414;0.16164;0.28641;0.051313707;-41.19;-41.46
mp-1009894;-4.78;-4.78;-4.78;0;-19.13;-19.13;-19.13;0;1;1;1;0;0;0;0;0;-8.42;-10.03
mp-753671;-9.17;-8.2;-10.14;0.97;-18.335;-16.39;-20.28;1.945;0.954455;0.98832;0.92177;0.032676022;0.045545;0.01168;0.07823;0.032676022;-86.49;-116.29
mp-23222;-0.35;-0.25;-0.45;0.1;-3.885;-1.49;-6.28;2.395;0.997635;1;0.99527;0.002365;0.002365;0;0.00473;0.002365;-11.37;-13.03
mp-13099;-3.92;-3.92;-3.92;0;-15.7;-15.7;-15.7;0;0.99556;0.99556;0.99556;0;0.00444;0.00444;0.00444;0;-6.78;-10.34
mp-10155;-2.67;-0.58;-4.62;1.431188317;-7.405;-0.58;-15.96;5.670932463;0.87134;0.96552;0.69079;0.106403291;0.12866;0.03448;0.30921;0.106403291;-3.62;-4.56
mp-8930;-2.1175;-0.43;-3.8;1.682503715;-6.1375;-0.87;-15.21;5.914859994;0.9855975;0.9935;0.97802;0.007580984;0.0144025;0.0065;0.02198;0.007580984;-12.15;-14.35
mp-11718;-0.356666667;-0.33;-0.41;0.037712362;-2.973333333;-1.98;-4.96;1.404785472;0.870803333;0.87132;0.86977;0.000730677;0.129196667;0.12868;0.13023;0.000730677;-6.14;-6.04
mp-34579;-2.2775;-0.53;-4.1;1.738553637;-9.2375;-1.59;-28.68;11.25557945;0.9149375;0.96689;0.82938;0.055232692;0.0850625;0.03311;0.17062;0.055232692;-40.6;-53.95
mp-979137;-2.32;-0.41;-3.94;1.455632738;-5.223333333;-1.24;-11.82;4.697959368;0.87286;1;0.71233;0.119790585;0.12714;0;0.28767;0.119790585;-12.62;-14.44
mp-1087;-0.406666667;-0.12;-0.55;0.202703944;-2.693333333;-1.44;-3.32;0.886240499;0.824246667;0.85161;0.76952;0.038697597;0.175753333;0.14839;0.23048;0.038697597;-18.15;-19.32
mp-1598;-0.336666667;-0.1;-0.48;0.168588915;-2.436666667;-0.31;-5.26;2.080005342;0.977166667;0.99435;0.94286;0.024258489;0.022833333;0.00565;0.05714;0.024258489;-22.66;-24.04
mp-8277;-0.66;-0.44;-0.88;0.22;-2.7675;-1.33;-3.54;0.904360962;0.7989425;0.811;0.78808;0.010895316;0.2010575;0.189;0.21192;0.010895316;-48.74;-49.12
